is_anbieter_exprop,geo_lat,geo_lon
Deutsche Wohnen,52.5208,13.2898
Deutsche Wohnen,52.4123,13.3222
Deutsche Wohnen,52.5692,13.3546
Deutsche Wohnen,52.5378,13.3889
Deutsche Wohnen,52.451,13.4492
Deutsche Wohnen,52.5688,13.355
Deutsche Wohnen,52.5533,13.4815
Deutsche Wohnen,52.5419,13.6153
Deutsche Wohnen,52.505,13.4001
Deutsche Wohnen,52.4675,13.3895
Deutsche Wohnen,52.4684,13.3883
Deutsche Wohnen,52.4416,13.247
Deutsche Wohnen,52.5697,13.3528
Deutsche Wohnen,52.5161,13.4903
Deutsche Wohnen,52.5396,13.6187
Deutsche Wohnen,52.5756,13.3705
Deutsche Wohnen,52.5159,13.4898
Deutsche Wohnen,52.5498,13.1968
Deutsche Wohnen,52.5634,13.2049
Deutsche Wohnen,52.5138,13.5022
Deutsche Wohnen,52.4971,13.5192
Deutsche Wohnen,52.5726,13.3574
Deutsche Wohnen,52.5652,13.2156
Deutsche Wohnen,52.4229,13.3605
Deutsche Wohnen,52.3839,13.3974
Deutsche Wohnen,52.5046,13.4043
Deutsche Wohnen,52.4794,13.4836
Deutsche Wohnen,52.477,13.4802
Deutsche Wohnen,52.4701,13.4893
Deutsche Wohnen,52.471,13.4912
Deutsche Wohnen,52.5089,13.5014
Deutsche Wohnen,52.5398,13.1898
Deutsche Wohnen,52.5497,13.426
Deutsche Wohnen,52.5684,13.3459
Deutsche Wohnen,52.5736,13.3636
Deutsche Wohnen,52.5504,13.1948
Deutsche Wohnen,52.5531,13.4746
Deutsche Wohnen,52.5177,13.4831
Deutsche Wohnen,52.5458,13.5995
Deutsche Wohnen,52.5298,13.3026
Deutsche Wohnen,52.5184,13.4841
Deutsche Wohnen,52.5458,13.5995
Deutsche Wohnen,52.5659,13.3262
Deutsche Wohnen,52.5748,13.3666
Deutsche Wohnen,52.5292,13.4472
Deutsche Wohnen,52.5293,13.4475
Deutsche Wohnen,52.5661,13.3253
Deutsche Wohnen,52.5736,13.3642
Deutsche Wohnen,52.5388,13.1899
Deutsche Wohnen,52.5481,13.1845
Deutsche Wohnen,52.4414,13.5785
Deutsche Wohnen,52.5626,13.2038
Deutsche Wohnen,52.5444,13.1844
Deutsche Wohnen,52.5018,13.4166
Deutsche Wohnen,52.5008,13.3864
Deutsche Wohnen,52.5642,13.2053
Deutsche Wohnen,52.5628,13.2027
Deutsche Wohnen,52.5415,13.6167
Deutsche Wohnen,52.5491,13.1854
Deutsche Wohnen,52.5491,13.1854
Deutsche Wohnen,52.5892,13.4051
Deutsche Wohnen,52.4444,13.4056
Deutsche Wohnen,52.442,13.4048
Deutsche Wohnen,52.4123,13.3222
Deutsche Wohnen,52.5919,13.2922
Deutsche Wohnen,52.5384,13.1879
Deutsche Wohnen,52.4324,13.459
Deutsche Wohnen,52.5311,13.6045
Deutsche Wohnen,52.5406,13.276
Deutsche Wohnen,52.5677,13.3447
Deutsche Wohnen,52.6153,13.4922
Deutsche Wohnen,52.533,13.6061
Deutsche Wohnen,52.5339,13.6085
Deutsche Wohnen,52.55,13.1856
Deutsche Wohnen,52.5557,13.5639
Deutsche Wohnen,52.4345,13.1955
Deutsche Wohnen,52.5131,13.5309
Deutsche Wohnen,52.5124,13.5321
Deutsche Wohnen,52.5401,13.4211
Deutsche Wohnen,52.5393,13.5681
Deutsche Wohnen,52.5458,13.2092
Deutsche Wohnen,52.5199,13.201
Deutsche Wohnen,52.5076,13.5009
Deutsche Wohnen,52.5739,13.3629
Deutsche Wohnen,52.4694,13.3196
Deutsche Wohnen,52.5455,13.2104
Deutsche Wohnen,52.4978,13.41
Deutsche Wohnen,52.5026,13.4305
Deutsche Wohnen,52.5497,13.1775
Deutsche Wohnen,52.5498,13.1819
Deutsche Wohnen,52.5501,13.1834
Deutsche Wohnen,52.5461,13.1839
Deutsche Wohnen,52.449,13.2493
Deutsche Wohnen,52.5489,13.1858
Deutsche Wohnen,52.5509,13.1737
Deutsche Wohnen,52.5504,13.1753
Deutsche Wohnen,52.5505,13.1753
Deutsche Wohnen,52.5497,13.1775
Deutsche Wohnen,52.5507,13.1942
Deutsche Wohnen,52.471,13.4912
Deutsche Wohnen,52.4132,13.3216
Deutsche Wohnen,52.4674,13.5061
Deutsche Wohnen,52.5777,13.4245
Deutsche Wohnen,52.5412,13.6213
Deutsche Wohnen,52.5076,13.5009
Deutsche Wohnen,52.5286,13.4638
Deutsche Wohnen,52.491,13.3049
Deutsche Wohnen,52.6159,13.4909
Deutsche Wohnen,52.4404,13.4405
Deutsche Wohnen,52.52,13.201
Deutsche Wohnen,52.5192,13.202
Deutsche Wohnen,52.58,13.334
Deutsche Wohnen,52.4595,13.4382
Deutsche Wohnen,52.5759,13.2885
Deutsche Wohnen,52.546,13.602
Deutsche Wohnen,52.5276,13.4222
Deutsche Wohnen,52.5048,13.4035
Deutsche Wohnen,52.449,13.3395
Deutsche Wohnen,52.5502,13.4284
Deutsche Wohnen,52.54,13.6151
Deutsche Wohnen,52.5404,13.6188
Deutsche Wohnen,52.5453,13.6022
Deutsche Wohnen,52.5466,13.5996
Deutsche Wohnen,52.5458,13.5995
Deutsche Wohnen,52.5444,13.6014
Deutsche Wohnen,52.5776,13.4246
Deutsche Wohnen,52.5771,13.4229
Deutsche Wohnen,52.5365,13.3841
Deutsche Wohnen,52.5773,13.4232
Deutsche Wohnen,52.5675,13.343
Deutsche Wohnen,52.4304,13.4532
Deutsche Wohnen,52.4287,13.4564
Deutsche Wohnen,52.5772,13.4231
Deutsche Wohnen,52.5765,13.4221
Deutsche Wohnen,52.5465,13.591
Deutsche Wohnen,52.5414,13.6167
Deutsche Wohnen,52.5396,13.6166
Deutsche Wohnen,52.5403,13.616
Deutsche Wohnen,52.4304,13.454
Deutsche Wohnen,52.5782,13.4218
Deutsche Wohnen,52.4221,13.3608
Deutsche Wohnen,52.5415,13.6154
Deutsche Wohnen,52.541,13.6158
Deutsche Wohnen,52.5395,13.618
Deutsche Wohnen,52.4409,13.4538
Deutsche Wohnen,52.579,13.4202
Deutsche Wohnen,52.5847,13.3901
Deutsche Wohnen,52.4443,13.4455
Deutsche Wohnen,52.4537,13.3537
Deutsche Wohnen,52.445,13.4459
Deutsche Wohnen,52.5044,13.4284
Deutsche Wohnen,52.5044,13.4284
Deutsche Wohnen,52.4435,13.4484
Deutsche Wohnen,52.4554,13.4309
Deutsche Wohnen,52.5502,13.4284
Deutsche Wohnen,52.4478,13.3504
Deutsche Wohnen,52.5412,13.6173
Deutsche Wohnen,52.4387,13.2664
Deutsche Wohnen,52.5426,13.5655
Deutsche Wohnen,52.5338,13.5397
Deutsche Wohnen,52.6147,13.4944
Deutsche Wohnen,52.5397,13.1873
Deutsche Wohnen,52.54,13.1876
Deutsche Wohnen,52.5419,13.616
Deutsche Wohnen,52.5402,13.6189
Deutsche Wohnen,52.5377,13.1877
Deutsche Wohnen,52.5562,13.3755
Deutsche Wohnen,52.4511,13.262
Deutsche Wohnen,52.5674,13.3448
Deutsche Wohnen,52.569,13.3454
Deutsche Wohnen,52.425,13.4591
Deutsche Wohnen,52.5683,13.3531
Deutsche Wohnen,52.435,13.3379
Deutsche Wohnen,52.4607,13.4837
Deutsche Wohnen,52.4499,13.2499
Deutsche Wohnen,52.5398,13.6064
Deutsche Wohnen,52.5458,13.1836
Deutsche Wohnen,52.5503,13.1732
Deutsche Wohnen,52.5648,13.4979
Deutsche Wohnen,52.5267,13.2218
Deutsche Wohnen,52.5449,13.4325
Deutsche Wohnen,52.5051,13.5033
Deutsche Wohnen,52.5594,13.5133
Deutsche Wohnen,52.5184,13.4855
Deutsche Wohnen,52.5493,13.1797
Deutsche Wohnen,52.5208,13.1915
Deutsche Wohnen,52.4397,13.4399
Deutsche Wohnen,52.44,13.439
Deutsche Wohnen,52.4315,13.4492
Deutsche Wohnen,52.5051,13.5033
Deutsche Wohnen,52.54,13.6212
Deutsche Wohnen,52.4595,13.436
Deutsche Wohnen,52.5483,13.1888
Deutsche Wohnen,52.549,13.1878
Deutsche Wohnen,52.5483,13.1858
Deutsche Wohnen,52.551,13.1864
Deutsche Wohnen,52.4669,13.5756
Deutsche Wohnen,52.5542,13.1649
Deutsche Wohnen,52.556,13.1665
Deutsche Wohnen,52.556,13.1665
Deutsche Wohnen,52.4706,13.3171
Deutsche Wohnen,52.46,13.4389
Deutsche Wohnen,52.4599,13.438
Deutsche Wohnen,52.5283,13.547
Deutsche Wohnen,52.451,13.2562
Deutsche Wohnen,52.4597,13.4391
Deutsche Wohnen,52.4601,13.4397
Deutsche Wohnen,52.4297,13.3504
Deutsche Wohnen,52.463,13.5212
Deutsche Wohnen,52.5555,13.5655
Deutsche Wohnen,52.4904,13.5126
Deutsche Wohnen,52.52,13.201
Deutsche Wohnen,52.46,13.4378
Deutsche Wohnen,52.5267,13.2218
Deutsche Wohnen,52.4605,13.35
Deutsche Wohnen,52.5687,13.4239
Deutsche Wohnen,52.5417,13.4381
Deutsche Wohnen,52.5652,13.3688
Deutsche Wohnen,52.5684,13.3519
Deutsche Wohnen,52.5539,13.4694
Deutsche Wohnen,52.5531,13.4746
Deutsche Wohnen,52.5048,13.4023
Deutsche Wohnen,52.5681,13.3499
Deutsche Wohnen,52.5803,13.3343
Deutsche Wohnen,52.4429,13.4521
Deutsche Wohnen,52.4463,13.3543
Deutsche Wohnen,52.5417,13.6174
Deutsche Wohnen,52.5393,13.6163
Deutsche Wohnen,52.558,13.3359
Deutsche Wohnen,52.5578,13.3345
Deutsche Wohnen,52.5741,13.3616
Deutsche Wohnen,52.5803,13.3353
Deutsche Wohnen,52.4678,13.5086
Deutsche Wohnen,52.5286,13.4638
Deutsche Wohnen,52.5773,13.4232
Deutsche Wohnen,52.545,13.433
Deutsche Wohnen,52.5007,13.4166
Deutsche Wohnen,52.5291,13.4624
