geo_lor_planungsraum_id,Planungsraum,Verdrängungsdruck,Prekarität,Miethöhe
12214422,Klixstraße,sehr hoch,sehr hoch,unterdurchschnittlich
12214423,Mellerbogen,unsichere Datenlage,unsichere Datenlage,unterdurchschnittlich
12214424,Scharnweberstraße,unsichere Datenlage,unsichere Datenlage,unterdurchschnittlich
12214527,Alt-Tegel,unsichere Datenlage,unsichere Datenlage,mittel
12214528,Tegeler Forst,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
12224229,Konradshöhe/Tegelort,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
12224230,Heiligensee,unsichere Datenlage,unsichere Datenlage,unterdurchschnittlich
12231101,Hermsdorf,unsichere Datenlage,unsichere Datenlage,unterdurchschnittlich
12231102,Frohnau,unsichere Datenlage,unsichere Datenlage,mittel
12301203,Wittenau Süd,unsichere Datenlage,unsichere Datenlage,unterdurchschnittlich
12301204,Wittenau Nord,unsichere Datenlage,unsichere Datenlage,unterdurchschnittlich
12301205,Waidmannslust,unsichere Datenlage,unsichere Datenlage,unterdurchschnittlich
12301206,Lübars,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
12302107,Schorfheidestraße,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
12302108,Märkisches Zentrum,unsichere Datenlage,unsichere Datenlage,unterdurchschnittlich
12302109,Treuenbrietzener Straße,unsichere Datenlage,unsichere Datenlage,unterdurchschnittlich
12302110,Dannenwalder Weg,unsichere Datenlage,unsichere Datenlage,unterdurchschnittlich
12302211,Lübarser Straße,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
12302212,Rollbergesiedlung,unsichere Datenlage,unsichere Datenlage,unterdurchschnittlich
12304313,Borsigwalde,unsichere Datenlage,unsichere Datenlage,unterdurchschnittlich
12304314,Ziekowstraße/Freie Scholle,unsichere Datenlage,unsichere Datenlage,unterdurchschnittlich
